FileName,FilePath,AbsolutePath,Folder,SVGType,SVGContent,SVGSource,LineContext,FileExtension
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,Inline SVG,"viewBox: 0 0 200 400, size: 20x150",On Code,Context not found,.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,Inline SVG,"viewBox: 0 0 200 200, size: N/AxN/A",On Code,Context not found,.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,React SVG Component,MoonSVG,On Code,"Line 162: <MoonSVG innerRef={moonRef} className=""w-full h-full"" />",.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,React SVG Component,ScrollSVG,On Code,"Line 227: <ScrollSVG className=""w-full h-full"" />",.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,React SVG Component,DiceSVG,On Code,"Line 241: <DiceSVG className=""w-full h-full"" />",.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,React SVG Component,TreeSVG,On Code,"Line 255: <TreeSVG innerRef={tree1Ref} className=""w-full h-full"" />",.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,React SVG Component,TreeSVG,On Code,"Line 255: <TreeSVG innerRef={tree1Ref} className=""w-full h-full"" />",.jsx
CharrollerFooter.jsx,src/components/Charroller/CharrollerFooter.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerFooter.jsx,src/components/Charroller,React SVG Component,SocialIcon,Non-SVG Wrapper,Line 39: <SocialIcon,.jsx
CharrollerFooter.jsx,src/components/Charroller/CharrollerFooter.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerFooter.jsx,src/components/Charroller,React SVG Component,SocialIcon,Non-SVG Wrapper,Line 39: <SocialIcon,.jsx
CharrollerFooter.jsx,src/components/Charroller/CharrollerFooter.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerFooter.jsx,src/components/Charroller,React SVG Component,SocialIcon,Non-SVG Wrapper,Line 39: <SocialIcon,.jsx
CharrollerFooter.jsx,src/components/Charroller/CharrollerFooter.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerFooter.jsx,src/components/Charroller,React SVG Component,SocialIcon,Non-SVG Wrapper,Line 39: <SocialIcon,.jsx
TavernBackground.jsx,src/components/Charroller/TavernBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\TavernBackground.jsx,src/components/Charroller,Inline SVG,"viewBox: 0 0 1200 100, size: N/AxN/A",On Code,Context not found,.jsx
TavernPlayer.jsx,src/components/Charroller/TavernPlayer.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\TavernPlayer.jsx,src/components/Charroller,React SVG Component,VolumeIcon,External Library (wrapper - react-icons),Line 145: <VolumeIcon size={13} />,.jsx
EmuconContactGrid.jsx,src/components/Emucon/EmuconContactGrid.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContactGrid.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 44: <ShieldIcon size={40} className=""text-forest-light"" />",.jsx
EmuconContactGrid.jsx,src/components/Emucon/EmuconContactGrid.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContactGrid.jsx,src/components/Emucon,React SVG Component,CrownIcon,On Code,Line 68: <CrownIcon,.jsx
EmuconContactGrid.jsx,src/components/Emucon/EmuconContactGrid.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContactGrid.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 44: <ShieldIcon size={40} className=""text-forest-light"" />",.jsx
EmuconContactGrid.jsx,src/components/Emucon/EmuconContactGrid.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContactGrid.jsx,src/components/Emucon,React SVG Component,EmailIcon,On Code,Line 116: <EmailIcon,.jsx
EmuconContactGrid.jsx,src/components/Emucon/EmuconContactGrid.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContactGrid.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,"Line 44: <ShieldIcon size={40} className=""text-forest-light"" />",.jsx
EmuconContentCard.jsx,src/components/Emucon/EmuconContentCard.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconContentCard.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 32: <LeafIcon,.jsx
EmuconDivider.jsx,src/components/Emucon/EmuconDivider.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconDivider.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 12: <LeafIcon,.jsx
EmuconDivider.jsx,src/components/Emucon/EmuconDivider.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconDivider.jsx,src/components/Emucon,React SVG Component,ShieldIcon,On Code,Line 27: <ShieldIcon size={20} className={`${iconColor} opacity-60`} />,.jsx
EmuconDivider.jsx,src/components/Emucon/EmuconDivider.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconDivider.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 12: <LeafIcon,.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,TreeIcon,On Code,Line 34: <TreeIcon,.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,StarIcon,On Code,"Line 68: <StarIcon size={size} className=""text-gold-light/40"" />",.jsx
EmuconFooter.jsx,src/components/Emucon/EmuconFooter.jsx,D:\git clones\emurpg-frontend\src\components\Emucon\EmuconFooter.jsx,src/components/Emucon,React SVG Component,LeafIcon,On Code,Line 115: <LeafIcon,.jsx
